Control;Cave_T;Lethal_T;Delta_T;Cave;Legit;Species;Gender;Experiment;Date_legit;Date_experiment
no;8,5;10,5;2;Tornini;Isaia,Mammola;achillis;m;EXP2;14.vii.2017;17.vii.2017
no;8,5;12,5;4;Tornini;Isaia,Mammola;achillis;m_i;EXP2;14.vii.2017;17.vii.2017
no;8,5;11,5;3;Tornini;Isaia,Mammola;achillis;f;EXP2;14.vii.2017;17.vii.2017
no;8,5;15,5;7;Tornini;Isaia,Mammola;achillis;m_i;EXP2;14.vii.2017;17.vii.2017
si;8,5;NA;NA;Tornini;Isaia,Mammola;achillis;f;EXP2;14.vii.2017;17.vii.2017
si;8,5;NA;NA;Tornini;Isaia,Mammola;achillis;f;EXP2;14.vii.2017;17.vii.2017
no;8,5;16,5;8;Tornini;Isaia,Mammola;achillis;i;EXP2;14.vii.2017;17.vii.2017
no;8,5;10,5;2;Tornini;Isaia,Mammola;achillis;f;EXP2;14.vii.2017;17.vii.2017
no;8,5;14,5;6;Tornini;Isaia,Mammola;achillis;f;EXP2;14.vii.2017;17.vii.2017
si;8,5;NA;NA;Tornini;Isaia,Mammola;achillis;f;EXP2;14.vii.2017;17.vii.2017
no;8,5;11,5;3;Tornini;Isaia,Mammola;achillis;i;EXP2;14.vii.2017;17.vii.2017
no;8,5;12,5;4;Tornini;Isaia,Mammola;achillis;f;EXP2;14.vii.2017;17.vii.2017
no;8,5;16,5;8;Tornini;Isaia,Mammola;achillis;f_i;EXP2;14.vii.2017;17.vii.2017
no;8,5;12,5;4;Tornini;Isaia,Mammola;achillis;m_i;EXP2;14.vii.2017;17.vii.2017
no;8,5;11,5;3;Tornini;Isaia,Mammola;achillis;f;EXP2;14.vii.2017;17.vii.2017
si;7,5;NA;NA;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;f;EXP2;14.vii.2017;17.vii.2017
no;7,5;14,5;7;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;f;EXP2;14.vii.2017;17.vii.2017
no;7,5;10,5;3;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;m_i;EXP2;14.vii.2017;17.vii.2017
no;7,5;11,5;4;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;f;EXP2;14.vii.2017;17.vii.2017
no;7,5;17,5;10;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;f_i;EXP2;14.vii.2017;17.vii.2017
si;7,5;NA;NA;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;m_i;EXP2;14.vii.2017;17.vii.2017
no;7,5;17,5;10;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;m;EXP2;14.vii.2017;17.vii.2017
no;7,5;13,5;6;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;f_i;EXP2;14.vii.2017;17.vii.2017
no;7,5;13,5;6;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;m_i;EXP2;14.vii.2017;17.vii.2017
no;7,5;10,5;3;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;m;EXP2;14.vii.2017;17.vii.2017
si;7,5;NA;NA;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;f;EXP2;14.vii.2017;17.vii.2017
no;7,5;10,5;3;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;f;EXP2;14.vii.2017;17.vii.2017
no;7,5;14,5;7;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;f;EXP2;14.vii.2017;17.vii.2017
no;7,5;12,5;5;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;m_i;EXP2;14.vii.2017;17.vii.2017
no;7,5;12,5;5;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;i;EXP2;14.vii.2017;17.vii.2017
no;7,5;12,5;5;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;m_i;EXP2;14.vii.2017;17.vii.2017
no;7,5;10,5;3;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;i;EXP2;14.vii.2017;17.vii.2017
no;7,5;11,5;4;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;m_i;EXP2;14.vii.2017;17.vii.2017
no;7,5;17,5;10;Tana_del_Diavolo;Isaia,Mammola,Piano;achillis;m_i;EXP2;14.vii.2017;17.vii.2017
no;8;12;4;Camoscere_sup;Isaia,Mammola;vignai;i;EXP2;3.xii.2018;4.xii.2018
no;8;9;1;Camoscere_sup;Isaia,Mammola;vignai;f;EXP2;3.xii.2018;4.xii.2018
no;8;21;13;Camoscere_sup;Isaia,Mammola;vignai;m_i;EXP2;3.xii.2018;4.xii.2018
no;8;NA;NA;Camoscere_sup;Isaia,Mammola;vignai;f;EXP2;3.xii.2018;4.xii.2018
no;8;21;13;Camoscere_sup;Isaia,Mammola;vignai;i;EXP2;3.xii.2018;4.xii.2018
no;8;12;4;Camoscere_sup;Isaia,Mammola;vignai;f;EXP2;3.xii.2018;4.xii.2018
no;8;24;16;Camoscere_sup;Isaia,Mammola;vignai;f_i;EXP2;3.xii.2018;4.xii.2018
no;8;14;6;Camoscere_sup;Isaia,Mammola;vignai;m;EXP2;3.xii.2018;4.xii.2018
no;8;21;13;Camoscere_sup;Isaia,Mammola;vignai;f;EXP2;3.xii.2018;4.xii.2018
no;8;11;3;Camoscere_sup;Isaia,Mammola;vignai;m;EXP2;3.xii.2018;4.xii.2018
no;5;9;4;Buco_valenza;Isaia,Mammola;vignai;f;EXP2;8.i.2019;9.i.2019
no;5;12;7;Buco_valenza;Isaia,Mammola;vignai;f;EXP2;8.i.2019;9.i.2019
no;5;10;5;Buco_valenza;Isaia,Mammola;vignai;f;EXP2;8.i.2019;9.i.2019
no;5;21;16;Buco_valenza;Isaia,Mammola;vignai;i;EXP2;8.i.2019;9.i.2019
no;5;7;2;Buco_valenza;Isaia,Mammola;vignai;m_i;EXP2;8.i.2019;9.i.2019
no;5;6;1;Buco_valenza;Isaia,Mammola;vignai;f;EXP2;8.i.2019;9.i.2019
no;5;22;17;Buco_valenza;Isaia,Mammola;vignai;i;EXP2;8.i.2019;9.i.2019
no;5;14;9;Buco_valenza;Isaia,Mammola;vignai;f;EXP2;8.i.2019;9.i.2019
no;5;6;1;Buco_valenza;Isaia,Mammola;vignai;i;EXP2;8.i.2019;9.i.2019
no;5;10;5;Buco_valenza;Isaia,Mammola;vignai;f;EXP2;8.i.2019;9.i.2019
no;5;11;6;Buco_valenza;Isaia,Mammola;vignai;f;EXP2;8.i.2019;9.i.2019
no;5;16;11;Buco_valenza;Isaia,Mammola;vignai;m_i;EXP2;8.i.2019;9.i.2019
no;5;10;5;Buco_valenza;Isaia,Mammola;vignai;f;EXP2;8.i.2019;9.i.2019
no;5;20;15;Buco_valenza;Isaia,Mammola;vignai;f;EXP2;8.i.2019;9.i.2019
no;5;20;15;Buco_valenza;Isaia,Mammola;vignai;f;EXP2;8.i.2019;9.i.2019
no;5;22;17;Tuna;Isaia,Mammola;achillis;f;EXP2;8.i.2019;9.i.2019
no;7;22;15;Tuna;Isaia,Mammola;achillis;m_i;EXP2;8.i.2019;9.i.2019
no;7;23;16;Tuna;Isaia,Mammola;achillis;i;EXP2;8.i.2019;9.i.2019
no;7;17;10;Tuna;Isaia,Mammola;achillis;f;EXP2;8.i.2019;9.i.2019
no;7;22;15;Tuna;Isaia,Mammola;achillis;f;EXP2;8.i.2019;9.i.2019
no;7;6;3;Tuna;Isaia,Mammola;achillis;f;EXP2;8.i.2019;9.i.2019
no;7;12;5;Tuna;Isaia,Mammola;achillis;f;EXP2;8.i.2019;9.i.2019
no;7;19;12;Tuna;Isaia,Mammola;achillis;f;EXP2;8.i.2019;9.i.2019
no;7;19;12;Bocetto;Isaia,Mammola;achillis;f;EXP2;8.i.2019;9.i.2019
no;7;10;3;Bocetto;Isaia,Mammola;achillis;f;EXP2;8.i.2019;9.i.2019
no;7;8;1;Bocetto;Isaia,Mammola;achillis;i;EXP2;8.i.2019;9.i.2019
no;7;10;3;Bocetto;Isaia,Mammola;achillis;m;EXP2;8.i.2019;9.i.2019
no;7;7;0;Bocetto;Isaia,Mammola;achillis;i;EXP2;8.i.2019;9.i.2019
no;7;7;0;Bocetto;Isaia,Mammola;achillis;f;EXP2;8.i.2019;9.i.2019
no;3;4;0;Nebin;Isaia,Mammola;delphinicus;f;EXP2;NA;NA
no;3;4;0;Nebin;Isaia,Mammola;delphinicus;f;EXP2;NA;NA
no;3;6;1;Nebin;Isaia,Mammola;delphinicus;i;EXP2;NA;NA
no;3;4;1;Nebin;Isaia,Mammola;delphinicus;m;EXP2;NA;NA
no;3;5;2;Nebin;Isaia,Mammola;delphinicus;i;EXP2;NA;NA
no;3;5;2;Nebin;Isaia,Mammola;delphinicus;f;EXP2;NA;NA
no;3;4;1;Nebin;Isaia,Mammola;delphinicus;f;EXP2;NA;NA
no;3;4;0;Nebin;Isaia,Mammola;delphinicus;f;EXP2;NA;NA
no;3;4;0;Nebin;Isaia,Mammola;delphinicus;i;EXP2;NA;NA
no;3;4;1;Nebin;Isaia,Mammola;delphinicus;i;EXP2;NA;NA
no;3;4;0;Nebin;Isaia,Mammola;delphinicus;i;EXP2;NA;NA
no;3;4;0;Nebin;Isaia,Mammola;delphinicus;f;EXP2;NA;NA
